link,timestamp
https://seekingalpha.com/news/3588959-futures-take-breather-after-strong-rally,2020-07-07 13:17:29.459454
https://finance.yahoo.com/news/stock-market-news-live-july-7-2020-222809279.html,2020-07-07 13:19:12.389277
https://www.straitstimes.com/business/companies-markets/all-eyes-on-chinas-unstoppable-stocks-after-us460-billion-rally,2020-07-07 13:19:27.493817
https://www.fnlondon.com/articles/former-barclays-ceo-denies-deceiving-the-board-during-2008-emergency-cash-call-20200707,2020-07-08 13:23:49.074960
https://www.fnlondon.com/articles/varley-pressed-to-justify-fantastic-qatari-fees-20200707,2020-07-08 13:47:46.543865
https://sg.finance.yahoo.com/news/singapore-fuel-oil-stocks-over-103627087.html,2020-07-09 12:39:54.296077
https://finance.yahoo.com/news/stock-market-news-live-july-7-2020-222809279.html,2020-07-09 12:50:08.329494
https://www.businesstimes.com.sg/banking-finance/interactive-brokers-opens-singapore-office-offers-access-to-local-stocks,2020-07-09 13:05:29.310024
https://www.businesstimes.com.sg/banking-finance/toyota-launches-financial-services-arm-in-singapore,2020-07-09 13:12:12.054263
https://sbr.com.sg/financial-services/news/singapores-finance-professionals-pin-market-volatility-sentiment,2020-07-09 13:14:32.456116
https://finance.yahoo.com/news/stock-market-news-live-july-7-2020-222809279.html,2020-07-09 13:53:56.322302
https://www.marketwatch.com/story/long-term-treasury-yields-inch-lower-after-u-s-reports-1-31-million-increase-in-jobless-claims-11594299014?mod=markets,2020-07-09 13:57:41.522653
https://www.fnlondon.com/articles/former-barclays-ceo-denies-deceiving-the-board-during-2008-emergency-cash-call-20200707,2020-07-10 17:26:33.468244
https://seekingalpha.com/news/3588959-futures-take-breather-after-strong-rally,2020-07-10 17:59:03.010529
https://www.fnlondon.com/articles/varley-pressed-to-justify-fantastic-qatari-fees-20200707,2020-07-10 18:07:29.895812
https://sg.finance.yahoo.com/news/singapore-fuel-oil-stocks-over-103627087.html,2020-07-10 18:08:13.244501
https://www.businesstimes.com.sg/banking-finance/interactive-brokers-opens-singapore-office-offers-access-to-local-stocks,2020-07-10 18:10:07.577385
https://sbr.com.sg/financial-services/news/amtd-xiaomi-smu-and-nus-launch-digital-finance-leadership-programme,2020-07-10 18:12:58.225781
https://www.businesstimes.com.sg/government-economy/167-singapore-fintechs-financial-institutions-tap-government-digitalisation,2020-07-10 18:13:40.828695
https://www.businesstimes.com.sg/banking-finance/h1-investment-in-singapore-based-fintech-firms-up-19,2020-07-10 18:14:31.518867
https://www.fnlondon.com/articles/former-barclays-ceo-denies-deceiving-the-board-during-2008-emergency-cash-call-20200707,2020-07-11 11:57:24.336431
https://finance.yahoo.com/news/stock-market-news-live-july-7-2020-222809279.html,2020-07-11 12:06:29.128194
https://economictimes.indiatimes.com/markets/stocks/news/what-does-it-really-take-to-build-a-covid-proof-financial-portfolio/articleshow/76907599.cms,2020-07-11 12:22:16.763118
https://www.nytimes.com/2020/07/10/business/awkward-timing-book-financial-.html,2020-07-11 12:24:39.571854
https://www.globenewswire.com/news-release/2020/07/10/2060855/0/en/Captor-Capital-Announces-Delay-in-Filing-Annual-Financial-Statements-and-Responds-to-Filing-of-Civil-Complaint.html,2020-07-11 12:27:42.241876
https://www.fnlondon.com/articles/former-barclays-ceo-denies-deceiving-the-board-during-2008-emergency-cash-call-20200707,2020-07-12 16:52:36.250322
https://www.fitchratings.com/research/non-bank-financial-institutions/protracted-recovery-path-for-indian-non-bank-financial-institutions-13-07-2020,2020-07-13 12:46:56.426547
https://www.ft.com/content/df234c78-a945-4199-befe-0272259dc755,2020-07-13 12:54:43.887987
https://www.fnlondon.com/articles/varley-pressed-to-justify-fantastic-qatari-fees-20200707,2020-07-13 13:06:20.407337
https://au.finance.yahoo.com/news/stocks-for-financial-year-portfolio-211821960.html,2020-07-13 13:08:39.546056
https://www.globenewswire.com/news-release/2020/07/13/2061205/0/en/ASLAN-Pharmaceuticals-Reports-Second-Quarter-2020-Financial-Results-and-Provides-Corporate-Update.html,2020-07-13 13:09:34.061249
https://www.nature.com/articles/d41586-020-01553-9,2020-07-13 13:10:25.451072
https://www.thejakartapost.com/news/2020/07/13/wework-says-back-on-track-to-profits-financial-times.html,2020-07-13 13:10:44.539204
